Source,Country,Trade Ratio,GDP Ratio
JPN,AUS,3.557288014914574,0.09594681718701352
JPN,AUT,1.1851888154666812,0.029715317179385414
JPN,BEL,0.4891387281369996,0.04628790326863203
JPN,BGR,0.1706339453026843,0.0029370582864915343
JPN,BRA,1.356863736059723,0.12703326224443393
JPN,CAN,2.22156654832113,0.1332677355773095
JPN,CHE,1.6281998331120981,0.0538821245156346
JPN,CHN,0.7145398774269445,0.49809516993185426
JPN,CYP,0.04925261706251926,0.001547971844087922
JPN,CZE,0.593679300088605,0.01582662812136611
JPN,DEU,0.6829908421695053,0.35549103963372614
JPN,DNK,1.4238772986210848,0.023332147875604406
JPN,ESP,0.2658190018536564,0.11365934799348958
JPN,EST,0.7256292638252164,0.0012295557219806298
JPN,FIN,0.7963555729896101,0.025662920601821678
JPN,FRA,0.6364648092138376,0.2470145623055982
JPN,GBR,0.7052738624514105,0.2839503295374798
JPN,GRC,1.2830814552489542,0.02018824898526357
JPN,HRV,0.1411718019804384,0.003382700356481894
JPN,HUN,0.10340052927510579,0.008916765313225545
JPN,IDN,1.9576305352347616,0.03597432841768934
JPN,IND,0.5431503383225997,0.09513376481038106
JPN,IRL,1.4246719156108476,0.016671359993709403
JPN,ITA,0.8125324203715679,0.25548085123005543
JPN,JPN,1.0,1.0
JPN,KOR,0.6347311692865535,0.13782408564161322
JPN,LTU,0.7650924650549381,0.0017646607019679013
JPN,LUX,0.799921545659937,0.0034050514719095736
JPN,LVA,3.839354349022324,0.0017418546469899756
JPN,MEX,0.16215917217147188,0.0913237339963726
JPN,MLT,1.0427293032675575,0.0006679285950242415
JPN,NLD,0.47306246868499424,0.07322455046106845
JPN,NOR,2.167450858945936,0.024924322084358436
JPN,POL,0.17460998936905278,0.03610265947940796
JPN,PRT,0.22578456891926713,0.024059768017293134
JPN,ROU,0.9843547471553398,0.00759087076247217
JPN,RUS,9.720979328359512,0.04705999880220287
JPN,SVK,0.0769594227839792,0.0056479901288396675
JPN,SVN,0.15618380025853315,0.0038971133687316748
JPN,SWE,1.083213552462738,0.0460147348629059
JPN,TUR,0.22479821789041216,0.06896545904066013
JPN,TWN,0.42178169025557105,0.06490305606753832
JPN,USA,0.707782368895214,2.0092870843698765
