,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s
a,100.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
b,38.0,190.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
c,38.0,38.0,190.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
d,38.0,38.0,38.0,190.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
e,38.0,38.0,38.0,38.0,190.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
f,38.0,38.0,38.0,38.0,38.0,190.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
g,38.0,38.0,38.0,38.0,38.0,38.0,190.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
h,38.0,38.0,38.0,38.0,38.0,38.0,38.0,190.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
i,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,190.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
j,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,190.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
k,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,190.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
l,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,190.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
m,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,190.0,38.0,38.0,38.0,38.0,38.0,38.0
n,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,190.0,38.0,38.0,38.0,38.0,38.0
o,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,190.0,38.0,38.0,38.0,38.0
p,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,190.0,38.0,38.0,38.0
q,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,190.0,38.0,38.0
r,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,190.0,38.0
s,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,190.0
