,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s
a,100.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0
b,48.0,120.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0
c,48.0,48.0,120.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0
d,48.0,48.0,48.0,120.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0
e,48.0,48.0,48.0,48.0,120.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0
f,48.0,48.0,48.0,48.0,48.0,120.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0
g,48.0,48.0,48.0,48.0,48.0,48.0,120.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0
h,48.0,48.0,48.0,48.0,48.0,48.0,48.0,120.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0
i,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,120.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0
j,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,120.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0
k,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,120.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0
l,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,120.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0
m,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,120.0,48.0,48.0,48.0,48.0,48.0,48.0
n,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,120.0,48.0,48.0,48.0,48.0,48.0
o,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,120.0,48.0,48.0,48.0,48.0
p,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,120.0,48.0,48.0,48.0
q,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,120.0,48.0,48.0
r,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,120.0,48.0
s,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,120.0
